iter	RMSE
0	5132.500428
1	5105.393023
2	5078.853234
3	5052.36152
4	5024.099576
5	4998.839859
6	4973.227377
7	4949.854825
8	4926.146613
9	4899.589487
10	4873.31553
11	4847.113324
12	4821.405761
13	4798.213041
14	4775.149738
15	4754.286787
16	4730.668207
17	4705.635087
18	4682.021784
19	4663.131799
20	4642.254362
21	4618.064609
22	4599.592397
23	4578.71376
24	4558.104592
25	4536.344904
26	4517.243063
27	4494.276185
28	4473.684575
29	4451.399327
30	4429.394356
31	4408.766698
32	4389.019415
33	4366.98613
34	4346.64761
35	4328.190111
36	4307.671939
37	4285.299363
38	4268.012893
39	4247.626341
40	4230.27525
41	4210.406643
42	4194.408166
43	4174.813212
44	4154.469173
45	4134.780464
46	4117.063131
47	4096.689316
48	4076.749636
49	4055.293573
50	4040.463826
51	4022.430047
52	4003.713059
53	3987.303433
54	3970.907141
55	3951.563359
56	3936.067187
57	3921.248357
58	3904.105484
59	3885.730565
60	3868.364545
61	3851.763024
62	3834.724167
63	3821.040518
64	3804.706971
65	3788.22183
66	3773.539831
67	3757.303829
68	3742.860715
69	3729.046656
70	3714.461045
71	3698.758145
72	3683.720854
73	3670.377196
74	3657.650878
75	3645.024824
76	3631.571854
77	3616.571596
78	3603.516684
79	3593.21279
80	3577.940454
81	3563.822405
82	3548.927826
83	3535.731854
84	3524.692656
85	3513.390604
86	3501.552323
87	3489.111305
88	3477.01482
89	3464.578982
90	3453.203186
91	3441.731361
92	3428.202042
93	3416.566396
94	3405.729274
95	3394.540921
96	3383.84978
97	3374.277558
98	3362.432409
99	3351.683951
100	3341.126516
101	3330.016299
102	3319.607766
103	3308.508976
104	3297.718111
105	3288.554641
106	3277.736588
107	3267.776917
108	3257.251034
109	3246.663846
110	3236.906746
111	3227.600696
112	3217.284691
113	3208.107013
114	3199.186705
115	3189.550236
116	3180.851038
117	3170.048676
118	3160.662805
119	3153.530133
120	3143.965726
121	3135.581171
122	3126.519404
123	3117.472258
124	3108.786255
125	3101.668491
126	3093.156739
127	3085.545973
128	3077.518928
129	3070.693666
130	3062.132269
131	3053.007564
132	3045.431941
133	3038.144065
134	3031.087018
135	3023.871186
136	3016.591793
137	3009.39251
138	3002.4417
139	2995.719062
140	2987.639722
141	2981.491719
142	2974.919469
143	2968.237377
144	2961.516061
145	2954.720718
146	2949.559522
147	2942.741556
148	2935.076385
149	2929.240585
150	2923.308454
151	2917.547501
152	2910.238991
153	2903.201233
154	2896.340092
155	2890.622737
156	2884.427033
157	2878.709277
158	2871.669009
159	2866.540754
160	2860.089853
161	2854.551523
162	2848.377644
163	2843.499358
164	2837.797142
165	2831.012496
166	2825.002837
167	2819.292729
168	2813.386596
169	2809.438262
170	2803.92444
171	2798.652661
172	2794.517711
173	2789.263245
174	2785.212615
175	2780.583946
176	2775.825567
177	2771.18348
178	2766.908167
179	2761.850832
180	2757.20737
181	2752.489528
182	2747.359147
183	2741.848289
184	2737.334437
185	2733.121403
186	2729.03802
187	2725.137201
188	2719.835639
189	2715.917926
190	2712.383067
191	2708.714509
192	2704.367877
193	2698.823534
194	2693.887289
195	2689.823926
196	2684.451974
197	2679.247882
198	2675.465659
199	2671.65851
200	2667.847296
201	2663.054112
202	2659.752691
203	2656.183228
204	2652.295948
205	2648.163236
206	2644.928226
207	2641.453866
208	2637.888006
209	2634.126181
210	2629.638611
211	2625.643883
212	2622.113767
213	2617.396992
214	2613.780975
215	2610.614824
216	2606.450643
217	2602.571017
218	2598.712887
219	2595.087686
220	2591.81782
221	2588.762658
222	2584.889506
223	2581.282899
224	2578.691835
225	2574.250693
226	2571.070053
227	2568.254121
228	2564.876086
229	2561.532545
230	2558.295769
231	2554.740138
232	2551.673573
233	2547.433608
234	2543.851222
235	2539.794437
236	2537.126324
237	2535.320243
238	2534.663569
239	2531.800256
240	2528.911141
241	2526.872366
242	2524.101588
243	2521.766752
244	2519.206596
245	2515.267071
246	2512.782891
247	2508.651057
248	2507.696611
249	2504.232
250	2501.678461
251	2499.541471
252	2495.535435
253	2492.21403
254	2488.906453
255	2486.351969
256	2483.42115
257	2480.449335
258	2478.201897
259	2476.925329
260	2474.840526
261	2472.657178
262	2469.793888
263	2467.88472
264	2464.787404
265	2462.018894
266	2460.054449
267	2458.135772
268	2457.335691
269	2455.061001
270	2451.920438
271	2450.210195
272	2449.558732
273	2446.401596
274	2443.011638
275	2439.629
276	2437.704579
277	2435.685078
278	2434.144063
279	2433.379057
280	2432.554011
281	2430.755969
282	2428.910506
283	2427.01544
284	2425.194421
285	2422.786158
286	2422.139122
287	2419.932918
288	2417.475765
289	2416.156656
290	2415.173909
291	2412.759045
292	2410.125736
293	2406.494961
294	2404.315044
295	2401.373254
296	2400.747642
297	2397.924305
298	2395.444718
299	2393.613818
300	2391.909528
301	2391.18423
302	2390.480275
303	2389.802149
304	2388.991077
305	2388.30668
306	2385.965884
307	2383.933113
308	2382.268924
309	2379.956302
310	2377.135902
311	2376.621573
312	2374.419697
313	2372.384452
314	2371.081913
315	2369.424885
316	2368.651885
317	2368.122232
318	2365.914055
319	2365.414835
320	2364.679613
321	2363.917625
322	2361.258331
323	2359.50697
324	2357.752112
325	2357.109447
326	2355.513751
327	2354.583384
328	2352.215124
329	2351.266139
330	2349.228514
331	2346.497436
332	2345.492432
333	2343.752596
334	2342.907277
335	2341.480978
336	2339.593642
337	2337.41092
338	2336.382807
339	2334.453998
340	2332.437545
341	2331.350742
342	2328.870088
343	2326.743617
344	2325.300093
345	2324.048621
346	2323.434687
347	2322.480483
348	2320.984779
349	2319.876689
350	2317.681601
351	2315.895684
352	2314.06831
353	2312.949052
354	2312.472483
355	2311.903044
356	2310.820318
357	2309.048938
358	2308.458331
359	2307.864837
360	2306.610585
361	2305.987436
362	2305.378712
363	2304.313358
364	2302.227468
365	2301.508784
366	2301.161591
367	2300.577599
368	2299.61161
369	2298.106763
370	2297.690607
371	2297.090516
372	2296.521992
373	2295.557046
374	2293.117546
375	2292.65206
376	2290.669469
377	2288.864183
378	2286.502889
379	2285.987905
380	2285.424782
381	2284.613379
382	2282.475347
383	2280.165809
384	2279.641217
385	2276.846566
386	2275.56821
387	2273.207341
388	2272.634111
389	2271.590057
390	2269.468537
391	2267.42247
392	2266.808697
393	2266.010352
394	2264.548568
395	2262.01396
396	2261.618647
397	2260.025248
398	2258.167298
399	2257.018238
400	2256.448218
401	2254.053892
402	2251.778098
403	2251.320326
404	2249.381091
405	2248.202388
406	2245.760085
407	2245.266278
408	2243.455639
409	2241.457722
410	2239.455779
411	2238.902703
412	2237.152117
413	2235.822011
414	2234.180287
415	2233.648378
416	2232.076449
417	2231.629578
418	2229.382249
419	2226.995231
420	2226.434165
421	2224.486873
422	2223.1472
423	2222.093821
424	2221.572668
